Vpan,Ipan,Ppan
6.317807,0.052625896,0.33248024
6.311711,0.07944703,0.50144668
6.305695,0.06326103,0.39890476
6.2854532,0.084857224,0.53336616
6.2522044,0.10057974,0.6288451
6.1915604,0.1055429,0.6534752
6.230662,0.13577199,0.84594936
6.1901784,0.14208818,0.8795512
6.171725,0.15246558,0.9409756
6.125144,0.14447308,0.8849184
6.1802608,0.16838574,1.0406678
6.1240872,0.17199516,1.0533134
6.0707592,0.1917181,1.1638744
6.0372664,0.20828676,1.2574826
5.996539,0.21982002,1.3181594
5.9197172,0.25862144,1.5309659
5.899719,0.27589512,1.6277038
5.8637068,0.26983644,1.5822416
5.790218,0.296911,1.7191794
5.7834708,0.2943368,1.70228832
5.787129,0.30122542,1.7432304
5.634705,0.29755568,1.6766385
5.62999,0.33925344,1.9099934
5.4704124,0.33229636,1.81779816
5.314899,0.36422132,1.9357996
5.066626,0.35375548,1.79234668
4.8871316,0.35698628,1.744639
4.652551,0.358859552,1.6696124
4.5230676,0.3595686,1.626353
4.3736564,0.368845936,1.6132053
4.332654,0.35131836,1.5221409
4.2624936,0.360607868,1.5370888
4.1844624,0.34918356,1.4611455
4.147566,0.3611679,1.4979677
4.0721564,0.3476405,1.4156466
3.91073,0.349710936,1.367625
3.831398,0.35016228,1.341611
3.66379768,0.364648352,1.3359978
3.51602832,0.36020088,1.2664764
3.364483,0.34898996,1.1741708
3.26052,0.372608416,1.2148972
3.0316704,0.38427044,1.1649812
3.0094928,0.35763884,1.0763115
2.9082682,0.372741468,1.0840322
2.8659146,0.36659408,1.0506274
2.861205,0.348994016,0.99854344
2.8731496,0.368459232,1.0586384
2.8093348,0.36150216,1.0155806
2.7616972,0.370147,1.022234
2.7059304,0.35447264,0.9591783
2.5545632,0.37144016,0.94886744
2.4469318,0.358082036,0.8762024
2.2886598,0.37111784,0.8493625
2.1888276,0.3813579,0.8347267
2.1487504,0.36131692,0.7763798
2.1032262,0.36833836,0.77469884
2.0924142,0.37317252,0.78083144
2.120704,0.36099052,0.765554
2.1071284,0.3796258,0.7999203
2.128671,0.36252952,0.771706036
2.0757492,0.36084556,0.74902488
1.98657108,0.36839868,0.73185016
1.907148,0.3576994,0.6821857
1.8992628,0.382909068,0.7272449
1.715541,0.37123896,0.6368756
1.6165265,0.365558836,0.5909356
1.604983,0.37969852,0.60940964
1.5623042,0.36652564,0.57262456
1.5595404,0.37369204,0.5827878
1.5635236,0.36014056,0.5630883
1.5339332,0.3824618,0.5866708
1.6462796,0.36949444,0.60829116
1.5773435,0.3622756,0.57143308
1.5411681,0.3624084,0.55853224
1.473939,0.38007308,0.5602045
1.3963858,0.3716941,0.51902836
1.3483418,0.36472892,0.49177928
1.2511157,0.36665844,0.45873212
1.1645389,0.37046528,0.431421216
1.2069738,0.377946136,0.4561711
1.1857562,0.36866044,0.437141416
1.1814478,0.37167788,0.439118
1.1921734,0.379170668,0.45203716
1.1403136,0.35821104,0.40847292
1.1621814,0.36904336,0.4288953
1.1797406,0.37549256,0.4429838
1.2418482,0.38182544,0.47416924
1.2451813,0.377229,0.4697185
1.2322558,0.36846328,0.454041
1.2532293,0.36124824,0.45272688
1.2059118,0.362025968,0.4365714
1.1696604,0.3781476,0.44230428
1.0558454,0.37323284,0.39407616
0.95301,0.37832476,0.36054728
0.87488264,0.377692232,0.33043638
0.82164092,0.36266636,0.29798156
0.7496969,0.3733616,0.27990804
0.6336007,0.37162136,0.23545956
0.5143087,0.36337948,0.186889232
0.4587959,0.3639555,0.1669813
